ID_ACCIDENTE,ANYO,MES,DIA_SEMANA,HORA,COD_PROVINCIA,COD_MUNICIPIO,ZONA,ZONA_AGRUPADA,CARRETERA,KM,SENTIDO_1F,TITULARIDAD_VIA,TIPO_VIA,TIPO_ACCIDENTE,TOTAL_MU24H,TOTAL_HG24H,TOTAL_HL24H,TOTAL_VICTIMAS_24H,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,TOTAL_VICTIMAS_30DF,TOTAL_VEHICULOS,TOT_PEAT_MU24H,TOT_BICI_MU24H,TOT_CICLO_MU24H,TOT_MOTO_MU24H,TOT_TUR_MU24H,TOT_FURG_MU24H,TOT_CAM_MENOS3500_MU24H,TOT_CAM_MAS3500_MU24H,TOT_BUS_MU24H,TOT_OTRO_MU24H,TOT_SINESPECIF_MU24H,TOT_PEAT_MU30DF,TOT_BICI_MU30DF,TOT_CICLO_MU30DF,TOT_MOTO_MU30DF,TOT_TUR_MU30DF,TOT_FURG_MU30DF,TOT_CAM_MENOS3500_MU30DF,TOT_CAM_MAS3500_MU30DF,TOT_BUS_MU30DF,TOT_VMP_MU30DF,TOT_OTRO_MU30DF,TOT_SINESPECIF_MU30DF,NUDO,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,ACERA,TRAZADO_PLANTA,ZONA_KM,HAY_NIEBLA,TRAMO_HORA,gravedad_accidente,tramo_horario,zona_riesgo
37,2024,2,1,16,1,0,1,1,A-3312,31.0,2,3,6,20.0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,1,0.0,998,1,Baja,0,Tarde,Baja,Tarde,Bajo Riesgo
38,2024,2,3,18,1,0,1,1,A-1,328.0,2,3,3,19.0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,6,1,0.0,998,1,Muy Alta,0,Tarde,Baja,Noche,Bajo Riesgo
39,2024,2,5,17,1,0,1,1,A-1,339.0,2,3,3,15.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,2,4,0.0,998,2,Muy Alta,0,Tarde,Baja,Tarde,Bajo Riesgo
40,2024,2,3,3,1,0,1,1,AP-68,62.0,1,2,2,19.0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,6,1,0.0,998,1,Media,0,Madrugada,Baja,Madrugada,Bajo Riesgo
41,2024,2,1,5,1,1036,1,1,A-625,369.0,2,3,6,16.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,6,3,0.0,998,3,Muy Alta,0,Madrugada,Baja,Madrugada,Bajo Riesgo
42,2024,1,1,5,1,0,1,1,A-1,372.0,2,3,3,19.0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,6,1,0.0,998,1,Muy Alta,0,Madrugada,Baja,Madrugada,Bajo Riesgo
43,2024,2,7,10,1,0,1,1,A-132,23.0,1,3,6,19.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,1,0.0,998,1,Baja,0,Mañana,Baja,Mañana,Bajo Riesgo
44,2024,10,7,20,1,1059,3,2,No inventariada,0.0,4,4,9,2.0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9,4,1,0.0,998,998,,0,Noche,Baja,Noche,Bajo Riesgo
45,2024,2,3,19,1,0,3,2,No inventariada,0.0,4,4,9,1.0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,4,1,0.0,998,998,,0,Noche,Baja,Noche,Bajo Riesgo
46,2024,2,4,22,1,0,1,1,A-3012,35.0,1,3,6,14.0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,6,4,0.0,998,1,Baja,0,Noche,Baja,Noche,Bajo Riesgo
